, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,video,frame,GMM,GMM_probs
17,0.93,1,0.15,0.0,0.0,0.0,1.01,1.56,0.0,1.45,1.57,0.79,0.06,0.38,0.07,0.0,0.05,0.35,0.0,6,18,1,0.9619397275635239
18,0.98,1,0.23,0.0,0.0,0.0,1.09,1.69,0.0,1.18,1.54,0.66,0.03,0.1,0.07,0.0,0.1,0.13,0.0,6,19,1,0.8924979694883008
19,0.98,1,0.14,0.0,0.0,0.0,1.17,2.01,0.12,1.13,1.58,0.35,0.03,0.0,0.0,0.0,0.24,0.11,0.0,6,20,1,0.9974100203682985
20,0.98,1,0.08,0.0,0.07,0.0,1.28,2.26,0.12,1.17,1.47,0.1,0.02,0.06,0.0,0.0,0.19,0.0,0.04,6,21,1,0.9986134611021816
21,0.98,1,0.0,0.0,0.07,0.0,1.26,2.18,0.15,1.03,1.46,0.16,0.02,0.14,0.0,0.0,0.13,0.0,0.11,6,22,1,0.9975617918079719
22,0.98,1,0.0,0.0,0.0,0.0,1.19,1.85,0.09,0.68,1.45,0.48,0.0,0.24,0.0,0.0,0.0,0.0,0.23,6,23,1,0.9985508984018835
23,0.98,1,0.83,0.24,2.19,0.0,1.75,2.35,0.0,1.84,1.81,1.3,1.4,1.31,0.0,0.82,0.0,0.11,0.0,40,1,2,0.9999997838213981
24,0.93,1,0.28,0.08,1.32,0.0,1.76,1.64,0.01,1.65,1.74,0.73,0.48,0.92,0.22,0.27,0.48,0.79,0.1,40,2,8,0.9982643673025379
25,0.88,1,0.34,0.06,0.98,0.0,1.44,1.43,0.01,1.37,1.49,0.32,0.01,0.74,0.26,0.0,0.91,1.2,0.16,40,3,7,0.9995712211265472
26,0.88,1,0.34,0.06,1.17,0.0,1.33,1.64,0.17,0.99,1.27,0.15,0.03,0.78,0.23,0.09,0.85,1.03,0.16,40,4,8,0.9827461100256839
27,0.93,1,0.34,0.06,0.93,0.02,1.44,1.56,0.17,0.82,1.39,0.38,0.2,0.53,0.05,0.09,0.67,0.75,0.07,40,5,8,0.9881191155064224
28,0.88,1,0.0,0.0,0.63,0.02,1.81,1.77,0.17,1.18,1.77,0.7,0.36,0.26,0.0,0.1,0.25,0.31,0.16,40,6,8,0.9998546201748447
29,0.93,1,0.03,0.0,0.31,0.25,1.73,1.33,0.0,1.39,1.94,0.79,0.34,0.16,0.0,0.01,0.08,0.19,0.17,40,7,5,0.9542306882687568
30,0.88,1,0.03,0.0,0.4,0.23,1.56,1.58,0.0,1.27,1.77,0.66,0.17,0.16,0.0,0.27,0.37,0.68,0.21,40,8,5,0.9961574875058558
31,0.88,1,0.03,0.0,0.4,0.38,1.49,1.08,0.0,1.02,1.78,0.73,0.0,0.28,0.0,0.53,0.65,0.68,0.05,40,9,6,0.5914203248320907
32,0.88,1,0.0,0.0,0.4,0.14,1.54,1.0,0.1,1.08,1.77,0.64,0.0,0.13,0.02,0.54,1.19,0.89,0.04,40,10,6,0.9999898472074927
33,0.88,1,0.03,0.0,0.73,0.14,1.92,1.55,0.25,1.43,1.95,0.78,0.25,0.59,0.02,0.35,0.82,0.45,0.0,40,11,8,0.9930789757400142
34,0.98,1,0.03,0.0,0.99,0.0,1.97,1.46,0.25,1.35,1.88,0.38,0.25,0.47,0.02,0.09,0.96,0.47,0.04,40,12,1,0.9999978529743307
35,0.82,1,0.44,0.09,1.24,0.35,1.49,1.18,0.15,1.04,1.31,0.38,0.25,0.46,0.0,0.08,0.67,0.63,0.04,40,13,8,0.9884119552207905
36,0.88,1,0.41,0.09,0.6,0.35,1.17,0.41,0.16,0.75,1.17,0.0,0.0,0.04,0.0,0.0,1.23,0.97,0.04,40,14,7,0.9993789781641291
37,0.88,1,0.41,0.09,0.82,0.35,1.33,0.81,0.16,0.99,1.31,0.49,0.0,0.18,0.0,0.0,0.81,0.94,0.0,40,15,7,0.9989805463430844
38,0.93,1,0.0,0.0,1.29,0.0,2.14,1.62,0.16,1.62,2.09,0.8,0.0,0.26,0.0,0.0,0.74,0.38,0.21,40,16,1,0.9999385486559235
39,0.93,1,0.53,0.21,1.4,0.0,2.24,1.62,0.0,1.97,2.16,1.18,0.0,0.6,0.14,0.0,0.18,0.0,0.21,40,17,5,0.9477905345340504
40,0.88,1,0.9,0.21,0.91,0.0,1.82,1.36,0.0,2.27,2.01,1.15,0.0,0.81,0.14,0.0,0.18,0.0,0.43,40,18,5,0.8519296594621409
41,0.88,1,0.9,0.21,0.59,0.0,1.85,1.42,0.29,2.16,1.99,1.14,0.12,0.87,0.2,0.0,0.0,0.29,0.23,40,19,7,0.9999999686065784
42,0.93,1,0.44,0.0,0.84,0.0,1.93,1.69,0.29,2.32,2.2,1.26,0.51,0.82,0.06,0.0,0.15,0.58,0.23,40,20,7,0.8227860893521268
43,0.88,1,0.42,0.13,1.37,0.0,2.28,1.99,0.29,2.09,2.3,1.25,0.63,0.6,0.17,0.0,0.61,0.94,0.0,40,21,7,0.9911041981959191
44,0.88,1,1.03,0.39,1.8,0.0,2.08,1.93,0.0,2.03,2.36,1.33,0.37,0.37,0.35,0.0,1.38,1.08,0.0,40,22,7,0.998514409853495
45,0.88,1,0.0,0.82,0.0,0.0,1.56,0.85,0.0,0.33,1.32,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,1,8,0.9999814362367396
48,0.88,1,0.03,0.0,0.42,0.0,0.72,1.67,0.21,0.18,0.3,0.12,0.27,0.61,0.23,0.0,0.95,0.53,0.5,41,4,1,0.9976492941923325
49,0.93,1,0.1,0.0,0.64,0.0,1.02,2.61,0.4,0.18,0.3,0.12,0.27,0.87,0.23,0.0,0.98,0.81,0.5,41,5,1,0.999880255323687
50,0.88,1,0.07,0.0,0.49,0.0,1.11,2.41,0.33,0.18,0.39,0.12,0.49,0.63,0.23,0.0,1.25,0.64,0.33,41,6,1,0.9999571580151042
51,0.88,1,0.07,0.0,0.35,0.0,1.08,2.07,0.27,0.38,0.56,0.06,0.6,0.43,0.06,0.0,1.07,0.79,0.0,41,7,1,0.9999077127576019
52,0.88,1,0.07,0.0,0.4,0.28,1.11,1.5,0.09,0.75,1.19,0.16,1.25,0.59,0.06,0.4,1.69,0.76,0.0,41,8,6,0.9999999991967563
53,0.88,1,0.29,0.23,0.76,0.28,1.08,0.87,0.0,1.62,1.65,0.69,1.53,1.38,0.06,0.6,1.9,0.73,0.41,41,9,2,0.998872413312487
54,0.88,1,0.46,0.43,0.95,0.57,0.85,0.7,0.0,1.43,1.93,1.7,1.28,2.77,0.0,1.55,1.61,0.71,0.41,41,10,2,0.9999999999999813
55,0.88,1,0.39,0.43,0.69,0.29,1.0,0.67,0.0,1.27,1.78,2.75,0.63,2.42,0.0,1.15,0.96,0.46,0.41,41,11,2,1.0
56,0.88,1,0.32,0.46,0.54,0.55,0.83,0.73,0.0,0.54,1.86,2.7,0.13,2.73,0.0,1.23,0.32,0.52,0.0,41,12,2,1.0
57,0.88,1,0.14,0.25,0.21,0.26,1.26,1.32,0.0,0.66,1.71,2.37,0.0,1.22,0.1,0.28,0.12,0.06,0.0,41,13,5,0.9617668841331194
58,0.98,1,0.14,0.25,0.21,0.26,1.62,1.58,0.0,1.25,2.14,1.5,0.0,1.42,0.41,0.28,0.12,0.06,0.0,41,14,5,0.9999999902945933
59,0.88,1,0.0,0.0,0.0,0.0,2.2,2.16,0.0,1.34,1.9,1.02,0.0,0.26,0.41,0.0,0.72,0.0,0.06,41,15,1,0.9943904749076348
60,0.88,1,0.0,0.0,0.0,0.0,2.33,2.53,0.0,1.4,1.88,0.47,0.0,0.26,0.32,0.0,1.06,0.0,0.36,41,16,1,0.9982057116176001
61,0.93,1,0.0,0.0,0.0,0.0,1.85,2.58,0.0,0.87,1.01,0.19,0.0,0.19,0.0,0.0,1.06,0.46,0.47,41,17,1,0.9996385593611606
62,0.98,1,0.15,0.0,0.05,0.0,1.29,2.29,0.0,0.64,0.7,0.19,0.11,0.85,0.0,0.75,0.47,1.41,0.41,41,18,1,0.9999977641350786
63,0.88,1,0.15,0.0,0.05,0.0,0.54,1.19,0.0,0.26,0.18,0.0,0.11,0.85,0.0,0.75,0.0,1.41,0.11,41,19,1,0.9999447895052227
65,0.98,1,0.0,0.6,0.0,0.0,0.86,1.22,0.36,0.76,1.22,0.11,0.0,0.39,0.41,0.0,0.0,0.0,0.0,7,1,7,0.9997363813419181
66,0.93,1,0.58,0.2,0.0,0.3,0.7,0.41,0.12,0.85,1.39,0.13,0.13,0.62,0.14,0.0,0.35,0.11,0.95,7,2,7,0.9999999999999989
67,0.93,1,0.74,0.0,0.0,0.41,0.58,0.13,0.0,0.86,1.38,0.09,0.41,0.65,0.0,0.0,0.35,0.12,1.22,7,3,7,0.9999999999602287
68,0.88,1,0.6,0.0,0.05,0.31,0.53,0.13,0.0,0.79,1.21,0.09,0.38,0.96,0.0,0.0,0.43,0.34,1.14,7,4,7,0.9999999563120723
69,0.93,1,0.28,0.0,0.05,0.15,0.64,0.33,0.0,0.95,1.11,0.11,0.44,0.96,0.0,0.0,0.47,0.58,0.84,7,5,7,0.9995755813270204
70,0.93,1,0.13,0.0,0.2,0.04,0.78,0.38,0.0,1.08,1.14,0.26,0.33,1.16,0.06,0.0,0.71,1.02,0.71,7,6,7,0.9635985557904276
71,0.93,1,0.06,0.0,0.42,0.04,0.98,0.47,0.0,1.2,1.22,0.26,0.44,1.03,0.06,0.0,0.76,1.07,0.4,7,7,7,0.8042233611302722
72,0.98,1,0.05,0.0,0.59,0.0,1.02,0.49,0.0,1.04,1.24,0.15,0.34,1.08,0.1,0.0,0.79,1.3,0.22,7,8,1,0.994392413311953
73,0.98,1,0.05,0.0,0.45,0.0,1.08,0.38,0.0,1.11,1.23,0.08,0.17,0.92,0.04,0.06,0.72,1.03,0.08,7,9,1,0.9929242134211361
74,0.98,1,0.01,0.0,0.19,0.0,1.0,0.46,0.0,1.0,1.19,0.08,0.01,0.72,0.15,0.06,0.43,0.89,0.0,7,10,1,0.9914786220705702
75,0.98,1,0.01,0.2,0.02,0.0,0.97,0.72,0.0,0.93,1.18,0.08,0.0,0.47,0.44,0.23,0.21,0.42,0.0,7,11,5,0.9989425055479827
76,0.98,1,0.01,0.2,0.0,0.0,0.88,0.94,0.0,0.6,1.17,0.0,0.0,0.37,0.44,0.18,0.2,0.41,0.07,7,12,5,0.9905575588661977
77,0.98,1,0.0,0.2,0.0,0.0,0.81,1.17,0.0,0.42,1.22,0.0,0.0,0.26,0.33,0.18,0.27,0.3,0.07,7,13,5,0.9862976163762958
78,0.98,1,0.0,0.0,0.0,0.0,0.85,0.74,0.0,0.35,1.19,0.08,0.0,0.28,0.07,0.0,0.3,0.47,0.07,7,14,1,0.9949157326509231
79,0.98,1,0.05,0.0,0.14,0.0,0.96,0.48,0.0,0.39,1.21,0.08,0.0,0.24,0.07,0.0,0.16,0.29,0.0,7,15,1,0.9960163804194692
80,0.98,1,0.08,0.0,0.28,0.0,1.05,0.28,0.06,0.63,1.12,0.08,0.0,0.17,0.07,0.0,0.2,0.17,0.0,7,16,1,0.9996945327521894
81,0.98,1,0.08,0.0,0.32,0.0,1.06,0.56,0.18,0.73,1.14,0.01,0.0,0.19,0.0,0.0,0.17,0.0,0.04,7,17,1,0.9997535971290611
82,0.98,1,0.03,0.0,0.18,0.0,1.01,0.62,0.18,0.7,1.1,0.01,0.0,0.18,0.0,0.09,0.15,0.0,0.11,7,18,1,0.99997083578939
83,0.98,1,0.0,0.0,0.04,0.0,0.95,0.63,0.12,0.57,1.14,0.19,0.0,0.43,0.0,0.23,0.0,0.19,0.11,7,19,1,0.9999609803715892
84,0.98,1,0.0,0.0,0.0,0.0,0.88,0.45,0.0,0.32,1.22,0.21,0.0,0.47,0.0,0.45,0.0,0.2,0.07,7,20,1,0.998212931889593
85,0.98,1,0.04,0.22,0.0,0.0,0.83,0.55,0.0,0.49,1.27,0.21,0.0,0.44,0.2,0.55,0.0,0.2,0.0,7,21,5,0.9995807226638554
86,0.98,1,0.04,0.3,0.0,0.0,0.83,0.67,0.01,0.61,1.32,0.03,0.12,0.19,0.42,0.46,0.0,0.02,0.0,7,22,6,0.9930214099342581
87,0.98,1,0.04,0.32,0.0,0.0,0.8,0.72,0.06,1.05,1.32,0.0,0.14,0.0,0.53,0.24,0.0,0.0,0.0,7,23,6,0.7721723163071816
88,0.98,1,0.04,0.15,0.0,0.0,0.8,0.69,0.13,1.04,1.22,0.0,0.16,0.0,0.33,0.05,0.17,0.24,0.0,7,24,8,0.998437335904374
89,0.98,1,0.04,0.07,0.0,0.0,0.81,0.39,0.15,1.08,1.29,0.03,0.04,0.0,0.12,0.0,0.24,0.42,0.0,7,25,7,0.9377559279249251
90,0.98,1,0.05,0.05,0.0,0.0,0.84,0.36,0.15,0.98,1.29,0.18,0.01,0.18,0.0,0.01,0.48,0.63,0.0,7,26,8,0.9995980366336568
91,0.98,1,0.01,0.0,0.0,0.0,0.84,0.8,0.08,0.98,1.44,0.22,0.13,0.23,0.0,0.01,0.33,0.39,0.1,7,27,1,0.9999816469198065
92,0.98,1,0.0,0.0,0.0,0.0,0.81,1.8,0.0,0.88,1.52,0.13,0.4,0.14,0.0,0.0,0.06,0.0,0.3,7,28,1,0.999440323883208
93,0.98,1,0.09,0.0,0.65,0.07,1.61,1.69,0.0,1.19,1.6,0.51,0.0,1.9,0.0,0.0,0.59,0.56,0.0,43,1,5,0.9991311501081585
94,0.98,1,0.07,0.21,0.52,0.02,1.09,1.71,0.0,0.71,1.35,0.23,0.0,1.4,0.0,0.0,0.38,0.2,0.0,43,2,5,0.9977147569743356
95,0.98,1,0.07,0.28,0.51,0.0,0.89,1.52,0.0,0.58,1.23,0.11,0.0,1.01,0.0,0.0,0.21,0.02,0.11,43,3,5,0.971901310149748
96,0.98,1,0.07,0.28,0.41,0.0,0.84,1.43,0.01,0.62,1.2,0.08,0.0,1.0,0.0,0.0,0.47,0.41,0.22,43,4,7,0.9993220407231836
97,0.98,1,0.03,0.07,0.21,0.0,0.77,1.02,0.01,0.62,1.13,0.05,0.0,1.14,0.0,0.0,0.6,0.76,0.35,43,5,7,0.999994482326167
98,0.98,1,0.05,0.0,0.0,0.0,0.66,1.32,0.01,0.36,0.86,0.0,0.0,1.52,0.0,0.16,0.56,0.88,0.29,43,6,1,0.9999998479086054
99,0.98,1,0.05,0.0,0.12,0.0,0.83,1.17,0.0,0.39,1.01,0.0,0.0,1.39,0.0,0.16,0.48,0.69,0.38,43,7,1,0.9953727183439157
100,0.98,1,0.05,0.0,0.22,0.0,0.95,1.03,0.0,0.48,1.14,0.12,0.0,1.19,0.0,0.16,0.45,0.53,0.45,43,8,1,0.9957850858121969
101,0.98,1,0.0,0.0,0.22,0.0,1.08,0.45,0.0,0.7,1.45,0.34,0.0,1.03,0.12,0.0,0.91,0.61,0.4,43,9,1,0.9879876223490125
102,0.98,1,0.0,0.0,0.11,0.0,1.04,0.63,0.0,0.52,1.48,0.34,0.0,0.95,0.15,0.0,1.08,0.66,0.47,43,10,1,0.9892711097359197
103,0.98,1,0.13,0.18,0.18,0.04,1.28,1.11,0.0,0.67,1.5,0.43,0.0,1.38,0.15,0.01,0.99,0.64,0.27,43,11,5,0.9999754875002883
104,0.98,1,0.13,0.18,0.18,0.04,1.24,1.44,0.0,0.57,1.61,0.25,0.0,1.14,0.04,0.01,0.88,0.66,0.49,43,12,5,0.9999693961893449
105,0.98,1,0.13,0.18,0.18,0.04,1.28,1.17,0.0,0.64,1.79,0.35,0.0,1.06,0.07,0.09,0.79,0.43,0.22,43,13,5,0.9999878404183419
106,0.88,1,0.0,0.0,0.0,0.0,1.18,0.78,0.0,0.5,1.91,0.46,0.0,0.35,0.15,0.12,1.26,0.42,0.38,43,14,1,0.9934635319716418
107,0.93,1,0.02,0.0,0.03,0.0,1.37,0.68,0.0,0.68,1.85,0.52,0.26,0.12,0.53,0.12,1.71,0.2,0.16,43,15,1,0.9999962292033895
108,0.93,1,0.02,0.0,0.29,0.0,1.67,1.07,0.24,1.09,1.54,0.71,0.72,0.06,0.82,0.03,2.19,0.17,0.18,43,16,1,0.9989109205934652
109,0.98,1,0.02,0.0,0.74,0.0,1.48,0.97,0.45,1.19,1.01,0.45,1.51,0.79,1.24,0.2,1.58,0.0,0.02,43,17,6,0.9999999541324956
110,0.88,1,0.0,0.0,0.72,0.0,1.51,1.2,0.7,1.28,1.03,0.52,1.56,0.79,0.92,0.42,1.29,0.0,0.02,43,18,6,0.9980377564268113
111,0.93,1,0.0,0.0,0.51,0.0,1.61,1.05,0.48,0.79,1.22,0.34,1.1,0.87,0.56,0.59,0.65,0.0,0.0,43,19,1,0.9971868439478434
113,0.93,1,0.0,0.0,0.16,0.0,2.16,1.04,0.83,0.92,1.59,0.23,0.36,0.14,0.15,1.2,1.2,0.21,0.0,43,21,1,0.9999999287078037
114,0.93,1,0.06,0.17,0.12,0.11,1.8,1.05,0.8,1.38,1.51,0.23,0.36,0.47,0.15,1.16,1.07,0.21,0.0,43,22,6,1.0
115,0.98,1,0.06,0.17,0.12,0.11,1.08,0.56,0.38,0.88,0.95,0.12,0.21,0.47,0.0,0.86,0.5,0.13,0.0,43,23,6,0.9999999992814015
120,0.98,1,0.22,0.18,0.35,0.15,0.41,0.55,0.0,0.55,0.22,0.0,0.92,1.73,0.0,0.0,0.0,0.6,0.0,43,28,6,0.9667885928682041
121,0.98,1,0.39,0.18,0.56,0.15,0.6,1.04,0.0,0.78,0.26,0.02,1.23,2.4,0.0,0.0,0.0,1.18,0.0,43,29,6,0.999999921631328
122,0.98,1,0.48,0.34,0.5,0.15,0.58,1.46,0.0,0.53,0.31,0.18,0.98,2.0,0.0,0.0,0.0,0.92,0.0,43,30,6,0.9997608476874523
123,0.98,1,0.39,0.2,0.27,0.01,0.38,1.39,0.0,0.46,0.4,0.22,0.58,1.64,0.0,0.0,0.0,0.82,0.0,43,31,5,0.9954632362128679
124,0.98,1,0.28,0.2,0.09,0.01,0.72,1.26,0.21,0.43,0.74,0.19,0.41,0.98,0.0,0.0,0.0,0.24,0.11,43,32,7,0.9982361026010783
125,0.93,1,0.19,0.0,0.1,0.0,1.58,1.09,0.64,0.63,1.15,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.34,43,33,1,0.9999998663032114
126,0.98,1,0.1,0.58,0.24,0.0,0.0,0.0,0.23,1.2,0.13,0.0,0.0,1.17,0.0,0.0,0.0,0.16,0.02,5,1,7,0.9990551249640102
127,0.98,1,0.07,0.19,0.55,0.0,0.0,0.23,0.37,0.64,0.04,0.0,0.18,0.65,0.0,0.0,0.27,0.09,0.38,5,2,0,0.9988242757794684
128,0.88,1,0.04,0.0,0.86,0.0,0.0,0.61,0.45,0.24,0.0,0.0,0.26,0.26,0.01,0.0,0.28,0.03,0.61,5,3,1,0.9570835330194722
129,0.93,1,0.0,0.0,0.69,0.0,0.0,0.9,0.41,0.24,0.0,0.0,0.15,0.0,0.07,0.0,0.24,0.19,0.82,5,4,1,0.7956420081744743
130,0.93,1,0.02,0.13,0.59,0.0,0.0,0.67,0.22,0.19,0.01,0.0,0.1,0.0,0.07,0.0,0.11,0.25,0.69,5,5,0,0.999877763177251
131,0.88,1,0.09,0.13,0.33,0.0,0.0,0.29,0.07,0.19,0.01,0.0,0.15,0.0,0.11,0.0,0.34,0.26,0.69,5,6,0,0.999722054539148
132,0.98,1,0.18,0.19,0.41,0.0,0.0,0.01,0.03,0.07,0.01,0.0,0.39,0.0,0.04,0.0,0.56,0.07,0.72,5,7,0,0.999992999754373
133,0.98,1,0.38,0.06,0.41,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.43,0.0,0.04,0.0,0.85,0.11,0.78,5,8,0,0.9999736988082732
134,0.98,1,0.31,0.06,0.58,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.3,0.0,0.0,0.0,0.98,0.2,0.64,5,9,0,0.9999910860073625
135,0.93,1,0.43,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.19,0.0,0.0,0.0,1.27,0.2,0.67,5,10,0,0.9999523469604326
136,0.98,1,0.24,0.02,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,1.27,0.1,0.37,5,11,0,0.9999928422751745
137,0.98,1,0.25,0.19,0.41,0.0,0.0,0.0,0.01,0.14,0.0,0.0,0.22,0.13,0.0,0.0,0.99,0.22,0.37,5,12,0,0.9999918579224208
138,0.98,1,0.05,0.19,0.47,0.0,0.0,0.0,0.04,0.14,0.0,0.0,0.1,0.21,0.0,0.0,0.66,0.22,0.11,5,13,0,0.999995416450985
139,0.98,1,0.02,0.17,0.45,0.0,0.0,0.0,0.04,0.39,0.12,0.0,0.0,0.21,0.0,0.0,0.56,0.27,0.11,5,14,0,0.999977346524676
140,0.88,1,0.0,0.0,0.6,0.0,0.0,0.24,0.19,0.56,0.12,0.0,0.0,0.08,0.0,0.0,0.82,0.2,0.0,5,15,0,0.9899554865495829
141,0.93,1,0.0,0.0,0.66,0.0,0.0,0.56,0.26,0.74,0.12,0.0,0.0,0.0,0.0,0.0,0.98,0.3,0.07,5,16,0,0.815918860409048
142,0.98,1,0.19,0.14,0.73,0.0,0.0,0.65,0.26,0.64,0.0,0.0,0.05,0.08,0.22,0.0,0.77,0.24,0.29,5,17,0,0.9985564202048393
143,0.98,1,0.51,0.47,0.55,0.0,0.0,0.41,0.1,0.47,0.02,0.0,0.17,0.21,0.44,0.0,0.46,0.1,0.53,5,18,0,0.5949354987248551
144,0.98,1,0.84,0.58,0.33,0.0,0.0,0.1,0.0,0.45,0.12,0.0,0.32,0.3,0.56,0.0,0.16,0.0,0.46,5,19,3,0.6666740284706102
145,0.98,1,1.22,0.98,0.22,0.0,0.0,0.01,0.0,0.51,0.21,0.0,0.27,0.3,0.44,0.0,0.09,0.0,0.4,5,20,3,0.991456209966836
146,0.98,1,1.28,1.08,0.19,0.0,0.0,0.0,0.0,0.58,0.19,0.0,0.15,0.17,0.34,0.0,0.1,0.0,0.15,5,21,3,0.9965761315561874
147,0.98,1,1.25,1.13,0.27,0.0,0.0,0.0,0.0,0.46,0.18,0.0,0.0,0.1,0.36,0.0,0.1,0.0,0.39,5,22,3,0.9987255294632855
148,0.98,1,0.69,0.59,0.45,0.0,0.0,0.05,0.0,0.39,0.08,0.0,0.0,0.18,0.26,0.0,0.22,0.0,0.24,5,23,7,0.791636299768657
149,0.98,1,0.3,0.16,0.43,0.0,0.0,0.05,0.0,0.47,0.11,0.0,0.0,0.36,0.14,0.0,0.18,0.0,0.37,5,24,0,0.9999034871701779
150,0.98,1,0.0,0.0,0.55,0.0,0.0,0.1,0.01,0.5,0.03,0.0,0.0,0.5,0.0,0.0,0.18,0.0,0.14,5,25,0,0.9994838317504761
151,0.98,1,0.0,0.0,0.57,0.0,0.0,0.05,0.08,0.56,0.03,0.0,0.0,0.47,0.0,0.0,0.15,0.12,0.14,5,26,0,0.9986106856738577
152,0.98,1,0.0,0.0,0.68,0.0,0.0,0.05,0.13,0.47,0.0,0.0,0.0,0.39,0.0,0.0,0.24,0.19,0.0,5,27,0,0.9993779863043901
153,0.98,1,0.0,0.0,0.74,0.0,0.0,0.0,0.12,0.51,0.0,0.0,0.0,0.3,0.0,0.0,0.27,0.28,0.0,5,28,0,0.9992099348968715
154,0.98,1,0.0,0.0,0.74,0.0,0.0,0.0,0.05,0.38,0.0,0.0,0.04,0.29,0.0,0.0,0.39,0.36,0.05,5,29,0,0.9998321994910006
155,0.98,1,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.04,0.29,0.0,0.0,0.4,0.29,0.06,5,30,0,0.9999033541157833
156,0.98,1,0.0,0.0,0.7,0.0,0.0,0.0,0.01,0.18,0.0,0.0,0.04,0.31,0.0,0.0,0.42,0.28,0.06,5,31,0,0.9998755609999497
157,0.98,1,0.05,0.18,0.72,0.0,0.0,0.0,0.05,0.54,0.0,0.0,0.0,0.43,0.11,0.0,0.35,0.37,0.01,5,32,0,0.9999967113952766
158,0.98,1,0.05,0.18,0.73,0.0,0.0,0.0,0.05,0.58,0.0,0.0,0.0,0.41,0.11,0.0,0.38,0.58,0.0,5,33,0,0.9999944620031668
