, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
750,0.62,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.17,0.0,0.0,0.0,0.74
751,0.61,0.02,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.14,0.01,0.0,0.0,0.68
752,0.68,0.02,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.19,0.07,0.0,0.0,0.36
753,0.82,0.02,1.34,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.35,0.2,0.12,0.0,0.0,0.18
754,0.88,0.0,1.42,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.53,0.21,0.24,0.0,0.0,0.09
755,0.71,0.2,1.24,0.09,0.0,0.04,0.0,0.27,0.0,0.0,0.15,1.22,0.13,0.18,0.27,0.23,0.09
756,0.56,0.2,1.15,0.09,0.0,0.0,0.0,0.27,0.0,0.0,0.15,1.07,0.11,0.21,0.27,0.23,0.11
757,0.31,0.2,0.88,0.09,0.0,0.0,0.0,0.27,0.0,0.0,0.15,0.95,0.08,0.1,0.27,0.23,0.02
758,0.16,0.0,0.89,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.2,0.17,0.22,0.0,0.0,0.02
759,0.02,0.0,0.88,0.06,0.0,0.16,0.0,0.02,0.0,0.0,0.0,1.18,0.28,0.22,0.0,0.0,0.0
760,0.02,0.0,1.08,0.16,0.0,0.33,0.0,0.05,0.0,0.01,0.0,1.08,0.42,0.29,0.0,0.0,0.0
761,0.02,0.0,1.47,0.24,0.07,0.34,0.01,0.12,0.0,0.01,0.0,0.93,0.48,0.24,0.0,0.0,0.0
762,0.0,0.0,1.64,0.17,0.23,0.56,0.12,0.37,0.0,0.01,0.0,0.66,0.33,0.16,0.39,0.19,0.1
763,0.0,0.0,1.76,0.07,0.38,0.86,0.29,0.61,0.0,0.0,0.0,0.43,0.19,0.07,1.02,0.56,0.28
764,0.0,0.0,1.67,0.0,0.45,1.47,0.43,0.93,0.0,0.0,0.0,0.2,0.04,0.0,1.57,1.01,0.45
765,0.0,0.0,1.7,0.0,0.43,1.92,0.43,1.08,0.0,0.02,0.0,0.14,0.04,0.0,1.76,1.17,0.52
766,0.0,0.2,1.34,0.13,0.27,1.45,0.26,1.17,0.0,0.17,0.05,0.06,0.0,0.0,1.7,0.94,0.35
767,0.61,0.52,1.36,0.13,0.38,0.97,0.11,1.03,0.09,0.17,0.08,0.2,0.0,0.0,1.39,0.6,0.17
768,0.66,0.52,1.6,0.13,0.48,0.82,0.23,0.96,0.09,0.14,0.2,0.4,0.0,0.0,1.13,0.53,0.0
769,0.66,0.32,1.97,0.0,0.61,1.21,0.48,0.82,0.09,0.0,0.19,0.56,0.0,0.0,0.69,0.46,0.0
770,0.05,0.0,1.81,0.0,0.53,1.28,0.59,0.72,0.0,0.0,0.16,0.5,0.0,0.0,0.45,0.35,0.01
771,0.0,0.0,1.44,0.0,0.45,0.97,0.44,0.54,0.0,0.0,0.09,0.35,0.04,0.02,0.13,0.07,0.01
772,0.03,0.0,1.73,0.0,0.64,1.01,0.19,0.69,0.04,0.08,0.17,0.26,0.04,0.02,0.13,0.0,0.01
773,0.03,0.02,2.05,0.0,0.73,1.09,0.08,0.91,0.05,0.08,0.18,0.12,0.04,0.02,0.28,0.0,0.0
774,0.03,0.02,2.1,0.0,0.63,1.11,0.0,1.08,0.05,0.08,0.17,0.07,0.0,0.04,0.5,0.04,0.05
775,0.0,0.02,1.83,0.0,0.35,1.1,0.0,1.02,0.01,0.0,0.15,0.0,0.0,0.04,0.63,0.06,0.05
776,0.0,0.0,1.66,0.0,0.11,1.2,0.0,0.97,0.0,0.0,0.23,0.0,0.0,0.04,0.74,0.09,0.05
777,0.21,0.46,1.36,0.0,0.04,0.91,0.0,0.88,0.0,0.0,0.28,0.28,0.0,0.01,0.78,0.21,0.0
778,0.21,0.46,1.38,0.0,0.15,0.84,0.09,0.83,0.0,0.0,0.23,0.45,0.0,0.01,0.71,0.19,0.0
779,0.41,0.57,1.48,0.0,0.21,0.54,0.09,0.74,0.0,0.0,0.15,0.6,0.0,0.0,0.63,0.26,0.0
780,0.24,0.16,1.9,0.0,0.29,0.57,0.18,0.75,0.0,0.0,0.09,0.43,0.0,0.0,0.56,0.12,0.05
781,0.24,0.16,1.93,0.0,0.33,0.56,0.19,0.74,0.0,0.0,0.06,0.26,0.0,0.0,0.54,0.12,0.07
782,0.04,0.06,1.87,0.0,0.43,0.76,0.26,0.74,0.0,0.0,0.06,0.12,0.0,0.0,0.53,0.02,0.07
783,0.0,0.01,1.66,0.0,0.43,1.01,0.22,0.73,0.0,0.0,0.04,0.07,0.0,0.0,0.56,0.08,0.11
784,0.0,0.01,1.44,0.0,0.28,0.95,0.16,0.78,0.0,0.0,0.02,0.07,0.0,0.0,0.54,0.11,0.18
785,0.03,0.0,1.59,0.0,0.18,0.7,0.1,0.8,0.0,0.0,0.06,0.11,0.0,0.0,0.42,0.13,0.21
786,0.04,0.0,1.75,0.05,0.1,0.55,0.05,0.77,0.0,0.02,0.06,0.19,0.0,0.01,0.19,0.2,0.2
